State,District,Year,Month,predicted_risk
Andhra Pradesh,Krishna,2020,4,0.04741933
Andhra Pradesh,Krishna,2020,4,0.06345665
Andhra Pradesh,Krishna,2020,5,0.047095757
Andhra Pradesh,Krishna,2020,5,0.07568195
Andhra Pradesh,Krishna,2020,5,0.099779405
Andhra Pradesh,Krishna,2020,6,0.033904444
Andhra Pradesh,Krishna,2020,6,0.032144673
Andhra Pradesh,Krishna,2020,6,0.031788837
Andhra Pradesh,Krishna,2020,7,0.033186696
Andhra Pradesh,Krishna,2020,7,0.031951237
Andhra Pradesh,Krishna,2020,7,0.031670973
Andhra Pradesh,Krishna,2020,8,0.03231822
Andhra Pradesh,Krishna,2020,8,0.031464066
Andhra Pradesh,Krishna,2020,8,0.03269403
Andhra Pradesh,Krishna,2020,9,0.03275262
Andhra Pradesh,Krishna,2020,9,0.03279825
Andhra Pradesh,Krishna,2020,9,0.033211738
Andhra Pradesh,Krishna,2020,10,0.033568338
Andhra Pradesh,Krishna,2020,10,0.033589043
Andhra Pradesh,Krishna,2020,10,0.03527185
Andhra Pradesh,Krishna,2020,11,0.03875154
Andhra Pradesh,Krishna,2020,11,0.0388798
Andhra Pradesh,Krishna,2020,11,0.0416052
Andhra Pradesh,Krishna,2020,12,0.04825324
Andhra Pradesh,Krishna,2020,12,0.037858836
Andhra Pradesh,Krishna,2020,12,0.04239015
Andhra Pradesh,Krishna,2021,1,0.04298425
Andhra Pradesh,Krishna,2021,1,0.061720025
Andhra Pradesh,Krishna,2021,1,0.062161278
Andhra Pradesh,Krishna,2021,2,0.090503596
Andhra Pradesh,Krishna,2021,2,0.11343561
Andhra Pradesh,Krishna,2021,2,0.15643154
Andhra Pradesh,Krishna,2021,3,0.10515574
Andhra Pradesh,Krishna,2021,3,0.09602776
Andhra Pradesh,Krishna,2021,3,0.124723874
Andhra Pradesh,Krishna,2021,4,0.0838129
Andhra Pradesh,Krishna,2021,4,0.053244554
Andhra Pradesh,Krishna,2021,4,0.068831906
Andhra Pradesh,Krishna,2021,5,0.0706298
Andhra Pradesh,Krishna,2021,5,0.13803558
Andhra Pradesh,Krishna,2021,5,0.21256733
Andhra Pradesh,Kurnool,2020,1,0.050395172
Andhra Pradesh,Kurnool,2020,1,0.047227163
Andhra Pradesh,Kurnool,2020,1,0.048316926
Andhra Pradesh,Kurnool,2020,1,0.046092577
Andhra Pradesh,Kurnool,2020,1,0.045859512
Andhra Pradesh,Kurnool,2020,1,0.04590419
Andhra Pradesh,Kurnool,2020,1,0.046109084
Andhra Pradesh,Kurnool,2020,1,0.044403505
Andhra Pradesh,Kurnool,2020,1,0.046133045
Andhra Pradesh,Kurnool,2020,1,0.048454996
Andhra Pradesh,Kurnool,2020,2,0.04941747
Andhra Pradesh,Kurnool,2020,2,0.047597993
Andhra Pradesh,Kurnool,2020,2,0.045761183
Andhra Pradesh,Kurnool,2020,2,0.040145747
Andhra Pradesh,Kurnool,2020,2,0.038034335
Andhra Pradesh,Kurnool,2020,2,0.039339323
Andhra Pradesh,Kurnool,2020,2,0.03855587
Andhra Pradesh,Kurnool,2020,2,0.038508937
Andhra Pradesh,Kurnool,2020,2,0.03921585
Andhra Pradesh,Kurnool,2020,2,0.041965187
Andhra Pradesh,Kurnool,2020,3,0.04436847
Andhra Pradesh,Kurnool,2020,3,0.06097485
Andhra Pradesh,Kurnool,2020,3,0.06711402
